1,82.3,177.5,88.2,95.2
2,70.4,173,75,83.3
3,65.3,168.8,70.2,78.3
4,66.2,164.2,70,80
5,77,168,68,82
6,71,172,64,81
7,74,171,70,79
8,68,169,71,82
9,74,165,73,85
10,69,168,74,91
11,82.3,177.5,88.2,95.2
12,70.4,173,75,83.3
13,65.3,168.8,70.2,78.3
14,66.2,164.2,70,80
15,77,168,68,82
16,71,172,64,81
17,74,171,70,79
18,68,169,71,82
19,74,165,73,85
20,69,168,74,91
21,82.3,177.5,88.2,95.2
22,70.4,173,75,83.3
23,65.3,168.8,70.2,78.3
24,66.2,164.2,70,80
25,77,168,68,82
26,71,172,64,81
27,74,171,70,79
28,68,169,71,82
29,74,165,73,85
30,69,168,74,91
31,82.3,177.5,88.2,95.2
32,70.4,173,75,83.3
33,65.3,168.8,70.2,78.3
34,66.2,164.2,70,80
35,77,168,68,82
36,71,172,64,81
37,74,171,70,79
38,68,169,71,82
39,74,165,73,85
40,69,168,74,91
41,82.3,177.5,88.2,95.2
42,70.4,173,75,83.3
43,65.3,168.8,70.2,78.3
44,66.2,164.2,70,80
45,77,168,68,82
46,71,172,64,81
47,74,171,70,79
48,68,169,71,82
49,74,165,73,85
50,69,168,74,91
